titulo,autor,isbn,nota_minha,status
suicidas,raphael montes,9788564065574,4.0,lido
tres,valerie perrin,9786555606645,4.5,lido
a empregada,freida mcfadden,9786555655063,4.0,lido
o segredo da empregada,freida mcfadden,9786555655940,4.5,lido
a empregada esta de olho,freida mcfadden,9786555656756,3.5,lido
a paciente silenciosa,alex michaelides,9788501116437,4.5,lido
verity,colleen hoover,9788501117847,5.0,lido
o massacre da familia hope,riley sager,9788551009833,4.5,lido
storytelling com dados,cole nussbaumer knaflic,9788550804682,5.0,lido
jantar secreto,raphael montes,9788535928358,4.5,lido
dias perfeitos,raphael montes,9788535941630,3.5,lido
nunca minta,freida mcfadden,9788501923288,4.5,lido
a garota do lago,charlie donlea,9788562409882,3.0,lido
a professora,freida mcfadden,9788501922045,2.0,lido
o vilarejo,raphael montes,9788581053042,5.0,lido
a cantiga dos passaros e das serpentes,suzanne collins,9786555320572,5.0,lido
laranja mecanica,anthony burgess,9788576574460,1.0,lido
jogos vorazes,suzanne collins,9786555321449,5.0,lido
em chamas,suzanne collins,9786555321456,4.5,lido
a esperanca,suzanne collins,9786555321463,5.0,lido
amanhecer na colheita,suzanne collins,9786555325201,5.0,lido
homo deus,yuval noah harari,9788543807829,4.5,lido
sapiens,yuval noah harari,9788535933925,5.0,lido
discurso sobre o colonialismo,aime cesaire,9788595710689,4.5,lido
pedagogia do oprimido,paulo freire,9788577534180,,abandonado
modernidade liquida,zygmunt bauman,9786559790005,,abandonado
o capital extratos por paul lafargue,"karl marx, paul lafargue",9788595710078,,abandonado
a menina que roubava livros,markus zusak,9788598078175,,abandonado
um amor para recordar,nicholas sparks,9788580419818,4.0,lido
will e will um nome um destino,"john green, david levithan",9788501093882,4.0,lido
harry potter e a pedra filosofal,j k rowling,9788532511010,5.0,lido
harry potter e a camara secreta,j k rowling,9788532511669,4.5,lido
harry potter e o prisioneiro de azkaban,j k rowling,9788532512062,,abandonado
a insustentavel leveza do ser,milan kundera,9788535928839,,abandonado
a revolucao dos bichos,george orwell,9788535909555,,abandonado
1984,george orwell,9788535914849,5.0,lido
cidades de papel,john green,9788580573749,4.0,lido
quem e voce alasca,john green,9788580576832,5.0,lido
o teorema katherine,john green,9788580573152,5.0,lido
o guia definitivo do mochileiro das galaxias,douglas adams,9788530601492,,abandonado
o codigo da vinci,dan brown,9786555651041,,abandonado
o cacador de pipas,khaled hosseini,9788525054203,5.0,lido
extraordinario,r j palacio,9788580573015,5.0,lido
um estranho no ninho,ken kesey,9786585854016,,abandonado
gota dagua,"chico buarque, paulo pontes",9788520003909,3.5,lido
noite do oraculo,paul auster,9788535904987,,abandonado
olhos dagua,conceicao evaristo,9788534705257,5.0,lido
peles negras mascaras brancas,frants fanon,9786586497205,5.0,lido
alice aventuras de alice no pais das maravilhas e atraves do espelho e o que alice encontrou por la,lewis carroll,9788537801727,,abandonado
cartas para algernon,daniel keyes,9788576573937,5.0,lido
o retrato de dorian gray,oscar wilde,9786550970291,,abandonado
as ultimas testemunhas,svetlana aleksievitch,9788535931006,4.0,lido
o menino manba negra,nadifa mohamed,9786555680171,,abandonado
o vermelho e o negro,stendhal,9786555526370,,abandonado
uma vida com propositos,rick warren,9786555844900,,abandonado
voce faz um mundo de diferenca,"jenna lucado bishop, max lucado",9788578606336,3.5,lido
graca,max lucado,9788578602987,,abandonado
o milagre da manha,hal elrod,9788576849940,4.0,lido
o jeito harvard de ser feliz,shawn achor,9786558101352,,abandonado
os segredos da mente milionaria,t harv eker,9788543109787,5.0,lido
o coracao do artista,rory noland,9788587086181,4.0,lido
a travessia,william p youg,9788580415148,5.0,lido
a cabana,william p youg,9788599296363,4.5,lido
lua de larvas,sally gardner,9788578277987,4.0,lido
o drama da crianca bem dotada,alice miller,9788532302755,4.5,lido
como fazer amigos e influenciar pessoas,dale carnegie,9788543108681,2.0,lido
a ditadura envergonhada as ilusoes armadas,elio gaspari,9788580573978,,abandonado
relacoes de genero e escutas clinicas,jose stona,9786598089436,,abandonado
pensamento feminista conceitos fundamentais,heloisa buarque de hollanda,9788569924470,4.0,lido
misbehaving,richard h thaler,9780393352795,,abandonado
os grandes economistas,linda yueh,9788525439345,,abandonado
para entender o mundo financeiro,paul singer,9788572441339,3.0,lido
formacao economica do brasil,celso furtado,9788535909524,4.0,lido
o mais importante para o investidor,howard marks,9786556600208,,abandonado
pai rico pai pobre,robert t kiyosaki,9788550801483,5.0,lido
paddy clarcke ha ha ha,roddy doyle,9788585865061,,abandonado
o discipulo radical,john stott,9788577790449,3.0,lido
o peregrino,john bunyan,9786556601762,,abandonado
deixe a neve cair,"john green, maureen johnson, lauren myracle",9788579801754,4.0,lido
a culpa e das estrelas,john green,9788580572261,5.0,lido
perdao leonard peacock,matthew quick,9788580573954,4.0,lido
as vantagens de ser invisivel,stephen chbosky,9789892342795,4.0,lido
